Date,Open,High,Low,Close
1975-10-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1975-11-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1975-12-01,8.5000000000,8.5000000000,8.5000000000,8.5000000000
1976-01-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
1976-02-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1976-03-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1976-04-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1976-05-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1976-06-01,8.2000000000,8.2000000000,8.2000000000,8.2000000000
1976-07-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1976-08-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
1976-09-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1976-10-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1976-11-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1976-12-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1977-01-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1977-02-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1977-03-01,7.0000000000,7.0000000000,7.0000000000,7.0000000000
1977-04-01,6.6000000000,6.6000000000,6.6000000000,6.6000000000
1977-05-01,6.5000000000,6.5000000000,6.5000000000,6.5000000000
1977-06-01,6.6000000000,6.6000000000,6.6000000000,6.6000000000
1977-07-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1977-08-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1977-09-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1977-10-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1977-11-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1977-12-01,6.1000000000,6.1000000000,6.1000000000,6.1000000000
1978-01-01,5.9000000000,5.9000000000,5.9000000000,5.9000000000
1978-02-01,5.8000000000,5.8000000000,5.8000000000,5.8000000000
1978-03-01,5.7000000000,5.7000000000,5.7000000000,5.7000000000
1978-04-01,5.7000000000,5.7000000000,5.7000000000,5.7000000000
1978-05-01,5.9000000000,5.9000000000,5.9000000000,5.9000000000
1978-06-01,6.0000000000,6.0000000000,6.0000000000,6.0000000000
1978-07-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1978-08-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1978-09-01,6.3000000000,6.3000000000,6.3000000000,6.3000000000
1978-10-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1978-11-01,6.6000000000,6.6000000000,6.6000000000,6.6000000000
1978-12-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1979-01-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1979-02-01,7.1000000000,7.1000000000,7.1000000000,7.1000000000
1979-03-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1979-04-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1979-05-01,7.8000000000,7.8000000000,7.8000000000,7.8000000000
1979-06-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1979-07-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1979-08-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1979-09-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1979-10-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1979-11-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1979-12-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1980-01-01,8.0000000000,8.0000000000,8.0000000000,8.0000000000
1980-02-01,8.4000000000,8.4000000000,8.4000000000,8.4000000000
1980-03-01,9.4000000000,9.4000000000,9.4000000000,9.4000000000
1980-04-01,9.4000000000,9.4000000000,9.4000000000,9.4000000000
1980-05-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
1980-06-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1980-07-01,7.9000000000,7.9000000000,7.9000000000,7.9000000000
1980-08-01,7.8000000000,7.8000000000,7.8000000000,7.8000000000
1980-09-01,8.1000000000,8.1000000000,8.1000000000,8.1000000000
1980-10-01,8.3000000000,8.3000000000,8.3000000000,8.3000000000
1980-11-01,8.6000000000,8.6000000000,8.6000000000,8.6000000000
1980-12-01,8.8000000000,8.8000000000,8.8000000000,8.8000000000
